Location_ID,sensor_name,sensor_description,latitude,longitude,total_pedestrians,avg_hourly_count,days_observed,hours_observed,nearest_toilet,nearest_distance_m,nearest_wheelchair,nearest_baby_change,toilets_within_300m,wheelchair_toilets_within_300m,baby_change_toilets_within_300m,toilets_within_500m,wheelchair_toilets_within_500m,baby_change_toilets_within_500m,demand_rank,demand_level,access_gap_level,priority_score,priority_group
72,ACMI_T,Flinders St- ACMI,-37.81726338,144.96872809,238356,333.4,30,715,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),227.8,yes,no,3,3,1,6,5,1,46,Medium demand,Moderate distance,48.5,Lower priority
85,488Mac_T,Macaulay Rd (North),-37.79432415,144.92973378,70438,106.9,30,659,Public Toilet - Toilet 177 - Bellair Street (Opposite 180 Bellair Street),85.3,yes,no,1,1,0,1,1,0,77,Low demand,Close toilet,27.4,Lower priority
86,574Qub_T,Queensberry St - Errol St (South),-37.80309992,144.94908064,40684,62.4,30,652,Public Toilet - Toilet 170 - Queensberry Street (Opposite 530 Queensberry Street),69.0,no,no,2,0,0,2,0,0,92,Low demand,Close toilet,27.6,Lower priority
107,280Will_T,Flagstaff station (East),-37.81246271,144.95690188,109334,152.7,30,716,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),261.5,yes,no,2,2,0,3,3,0,68,Low demand,Moderate distance,50.3,Medium priority
117,Fli114F_T,114 Flinders Street Car Park Footpath,-37.81629332,144.97090877,151991,220.0,30,691,Public Toilet - Toilet 14 - Flinders Street (27 Flinders Street),169.4,no,no,3,2,0,7,6,1,59,Medium demand,Moderate distance,46.7,Lower priority
123,BirBridge_T,Birrarung Marr East - Batman Ave Bridge Entry,-37.81753741,144.97329734,22395,46.9,30,478,Public Toilet - Toilet 14 - Flinders Street (27 Flinders Street),177.6,no,no,2,1,0,6,5,0,97,Low demand,Moderate distance,29.7,Lower priority
132,King335_T,I-Hub Corner of King Street and Latrobe Street (317-335 King),-37.81267639,144.95386444,138671,193.7,30,716,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),215.8,yes,no,1,1,0,2,2,0,62,Medium demand,Moderate distance,48.8,Lower priority
133,Spen229_T,I-Hub Southern Cross Station - Lonsdale Street Entrance - South,-37.81531435,144.95227769,501906,701.0,30,716,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),271.8,yes,no,1,1,0,1,1,0,17,High demand,Moderate distance,76.1,High priority
136,BirFed1120_T,"COM Pole 1120 - Towards the City, Near Federation Square Bridge",-37.8184141,144.97357915,101539,167.0,30,608,Public Toilet - Toilet 112 - Alexandra Gardens (Riverslide Skate Park),217.1,yes,no,3,2,0,5,4,0,70,Low demand,Moderate distance,45.1,Lower priority
139,Signal1647_T,COM Pole 1647 - Sandridge Bridge Signal Box,-37.81959923,144.9632832,58565,85.4,30,686,Public Toilet - Toilet 172 - Southbank Promenade (opposite Esso House),116.6,yes,no,2,2,0,5,5,0,84,Low demand,Close toilet,27.2,Lower priority
140,Boyd2837_T,COM Pole 2837 - Boyd Park,-37.82590962,144.96185972,63922,164.3,30,389,Public Toilet - Toilet 105 -Sturt Street Reserve (280 Sturt Street),545.1,no,no,0,0,0,0,0,0,80,Low demand,Longer distance,60.9,Medium priority
142,Hammer1584_T,COM Pole 1584 - Hammer Hall Entrance,-37.81970749,144.96795734,370448,521.8,30,710,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),249.7,yes,no,2,2,0,5,5,0,29,High demand,Moderate distance,67.8,Medium priority
161,BirArt1109_T,Birrarung Marr - COM - Pole 1109,-37.81851276,144.97131336,176305,252.6,30,698,Public Toilet - Toilet 48 - Birrarung Marr (Opposite Artplay),24.3,yes,no,2,2,0,6,5,0,51,Medium demand,Close toilet,36.7,Lower priority
165,Spen475_T,475 Spencer Street,-37.80953359,144.94939004,26982,42.2,30,640,Public Toilet - Toilet 154 - Flagstaff Gardens (cnr William & Dudley),501.1,yes,no,0,0,0,0,0,0,95,Low demand,Longer distance,52.9,Medium priority
181,Eli368_T,368 Elizabeth Street,-37.81009465,144.96143149,797805,1108.1,30,720,Public Toilet - Toilet 34 - Franklin Street (Opposite 80 Franklin Street),234.1,yes,no,1,1,0,9,3,1,7,High demand,Moderate distance,78.4,High priority
188,RMIT51_T,RMIT Building 51 - 80-92 Victoria Street,-37.80663222,144.96456557,79158,145.8,30,543,Public Toilet - Toilet 146 - Swanston Street (Opposite 475-511 Swanston Street),169.5,no,no,3,0,0,7,3,0,75,Low demand,Moderate distance,49.3,Lower priority
210,WatCit_T,Docklands Waterfront City Waterside,-37.8157484,144.93978108,52562,76.6,30,686,"Public Toilet - Saint Mangos Lane, The Palladio (New Quay)",227.6,yes,no,1,1,0,2,1,0,87,Low demand,Moderate distance,37.9,Lower priority
4,Swa123_T,Town Hall (West),-37.81487988,144.9660878,1295924,1799.9,30,720,Public Toilet - Town Hall Melbourne (200 Collins Street),83.9,yes,yes,3,2,1,7,5,1,1,High demand,Close toilet,54.8,Medium priority
6,FliS_T,Flinders Underpass - Myki Barriers,-37.81907439,144.96557866,328799,457.3,30,719,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),143.5,yes,no,2,2,0,5,5,1,35,Medium demand,Close toilet,55.0,Medium priority
10,BouHbr_T,Victoria Point,-37.81876474,144.94710545,63902,90.6,30,705,Public Toilet - Toilet 182 - Docklands Park South - 25 Harbour Esplanade,333.8,yes,yes,0,0,0,1,1,1,81,Low demand,Longer distance,57.1,Medium priority
17,Col15_T,Collins Place (South),-37.81362543,144.97323591,305958,424.9,30,720,Public Toilet - Toilet 13 - Exhibition Street (Opposite 77 Exhibition Street),165.4,yes,no,3,1,0,7,4,0,37,Medium demand,Moderate distance,57.0,Medium priority
24,Col620_T,Spencer St-Collins St (North),-37.81887963,144.95449198,662596,920.3,30,720,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),330.0,yes,no,0,0,0,1,1,0,12,High demand,Longer distance,90.7,High priority
31,Lyg161_T,Lygon St (West),-37.80169681,144.96658911,159748,223.4,30,715,Public Toilet - Toilet 178 -  Argyle Place North (Opposite 4 Argyle Place North),44.6,yes,no,1,1,0,5,3,0,57,Medium demand,Close toilet,34.7,Lower priority
36,Que85_T,Queen St (West),-37.81652527,144.96121062,161001,224.2,30,718,Public Toilet - Toilet 43 - Queen Street (opposite 113 Queen Street),77.5,yes,no,2,2,0,8,6,0,55,Medium demand,Close toilet,37.6,Lower priority
39,AlfPl_T,Alfred Place,-37.81379749,144.96995745,65586,104.9,30,625,Public Toilet - Toilet 13 - Exhibition Street (Opposite 77 Exhibition Street),124.6,yes,no,2,2,0,7,4,1,79,Low demand,Close toilet,30.9,Lower priority
45,Swa148_T,Little Collins St-Swanston St (East),-37.81414075,144.96609379,719989,1000.0,30,720,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),122.0,yes,no,4,2,1,7,5,1,8,High demand,Close toilet,55.4,Medium priority
49,Eli501_T,QVM-Therry St (South),-37.80730068,144.95956055,281390,390.8,30,720,"Public Toilet - Queen Victoria Market - (Meat Hall / ""H"" Shed)",89.2,no,no,6,2,1,9,3,1,39,Medium demand,Close toilet,36.5,Lower priority
58,Bou688_T,Bourke St - Spencer St (North),-37.81686075,144.95358075,369944,665.4,30,556,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),310.6,yes,no,0,0,0,1,1,0,30,High demand,Longer distance,80.9,High priority
59,RMIT_T,Building 80 RMIT,-37.80825648,144.96304859,709050,1048.9,30,676,Public Toilet - Toilet 146 - Swanston Street (Opposite 475-511 Swanston Street),165.1,no,no,3,1,0,7,2,1,9,High demand,Moderate distance,70.6,Medium priority
61,RMIT14_T,RMIT Building 14,-37.80767455,144.96309114,395210,552.0,30,716,Public Toilet - Toilet 146 - Swanston Street (Opposite 475-511 Swanston Street),104.1,no,no,3,1,0,7,2,1,23,High demand,Close toilet,56.2,Medium priority
62,Lat224_T,La Trobe St (North),-37.80996494,144.96216521,249804,348.9,30,716,Public Toilet - Toilet 34 - Franklin Street (Opposite 80 Franklin Street),259.4,yes,no,1,1,0,9,3,1,45,Medium demand,Moderate distance,61.2,Medium priority
75,SprFli_T,Spring St- Flinders st (West),-37.81515276,144.97467661,32690,67.8,24,482,Public Toilet - Toilet 14 - Flinders Street (27 Flinders Street),189.4,no,no,2,1,0,6,4,0,94,Low demand,Moderate distance,31.8,Lower priority
77,HarEsP_T,Harbour Esplanade (West) - Pedestrian path,-37.81441438,144.94433026,95765,209.1,21,458,"Public Toilet - Saint Mangos Lane, The Palladio (New Quay)",232.7,yes,no,1,1,0,1,1,0,72,Low demand,Moderate distance,45.9,Lower priority
79,FliSS_T,Flinders St (South),-37.81794046,144.96616678,392081,547.6,30,716,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),9.5,yes,no,1,1,0,5,5,1,24,High demand,Close toilet,49.2,Lower priority
84,ElFi_T,Elizabeth St - Flinders St (East) - New footpath,-37.81798049,144.96503383,858403,1198.9,30,716,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),108.4,yes,no,2,2,0,7,6,1,5,High demand,Close toilet,65.7,Medium priority
87,Errol23_T,Errol St (West),-37.80454949,144.94921863,76642,115.3,30,665,Public Toilet - Toilet 170 - Queensberry Street (Opposite 530 Queensberry Street),173.2,no,no,2,0,0,2,0,0,76,Low demand,Moderate distance,49.8,Lower priority
108,261Will_T,William St - Little Lonsdale St (West),-37.81295822,144.95678789,344044,480.5,30,716,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),212.9,yes,no,2,2,0,4,4,0,34,High demand,Moderate distance,62.4,Medium priority
109,LatWill_T,La Trobe St- William St (South),-37.81193681,144.95621105,134400,187.7,30,716,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),284.5,yes,no,1,1,0,4,4,1,64,Medium demand,Moderate distance,53.2,Medium priority
124,BirBridge_T,Birrarung Marr East - Batman Ave Bridge Entry,-37.81757416,144.97329934,886,3.5,30,256,Public Toilet - Toilet 14 - Flinders Street (27 Flinders Street),181.6,no,no,2,1,0,6,5,0,101,Low demand,Moderate distance,28.0,Lower priority
135,Spen161_T,I-Hub Southern Cross Station - Bourke Street Entrance - South,-37.8172861,144.95319102,357110,498.8,30,716,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),368.2,yes,no,0,0,0,1,1,0,33,High demand,Longer distance,82.4,High priority
137,BouHbr2353_T,"COM Pole 2353 - Towards the city, NAB Building",-37.81894815,144.94612292,53408,86.7,30,616,Public Toilet - Toilet 182 - Docklands Park South - 25 Harbour Esplanade,331.5,yes,yes,0,0,0,1,1,1,86,Low demand,Longer distance,54.4,Medium priority
138,EntPark1671_T,"COM Pole 1671 - Enterprize Park, Queens Bridge",-37.81996544,144.95981454,4931,13.9,30,356,Public Toilet - Toilet 3 - Flinders Street (399 Flinders Street),142.7,yes,no,2,2,0,5,5,0,100,Low demand,Close toilet,22.6,Lower priority
141,474Fl_T,Awning of Nationwide Parking 474 Flinders Street,-37.81997273,144.95834911,146852,205.1,30,716,Public Toilet - Toilet 3 - Flinders Street (399 Flinders Street),264.8,yes,no,1,1,0,3,3,0,60,Medium demand,Moderate distance,54.6,Medium priority
164,Lat526_T,I-Hub 526 La Trobe Street (Footpath),-37.813005,144.95160411,91144,127.3,30,716,Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),342.8,yes,no,0,0,0,1,1,0,74,Low demand,Longer distance,61.5,Medium priority
180,Mac330_T,"Pumping Station No.2, 330 Macaulay Road",-37.79497059,144.93530329,45440,73.8,30,616,Public Toilet - Toilet 177 - Bellair Street (Opposite 180 Bellair Street),456.3,yes,no,0,0,0,1,1,0,91,Low demand,Longer distance,54.6,Medium priority
185,Eli197_T,197 Elizabeth Street,-37.81374643,144.96276183,594803,826.1,30,720,Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),31.2,no,no,4,2,0,7,5,1,13,High demand,Close toilet,55.8,Medium priority
209,FliS_T,Flinders Underpass - Walkway,-37.81909037,144.96549709,455748,633.0,30,720,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),148.2,yes,no,2,2,0,6,6,1,19,High demand,Close toilet,63.6,Medium priority
2,Bou283_T,Bourke Street Mall (South),-37.81380668,144.96516718,534792,742.8,30,720,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),164.2,yes,no,4,2,1,7,5,1,16,High demand,Moderate distance,56.8,Medium priority
8,WebBN_T,Webb Bridge,-37.82293543,144.9471751,157355,241.3,30,652,Public Toilet - Toilet 182 - Docklands Park South - 25 Harbour Esplanade,132.1,yes,yes,1,1,1,2,2,2,58,Medium demand,Close toilet,32.5,Lower priority
11,WatCit_T,Docklands Waterfront City Building Side,-37.81564989,144.93970694,47022,68.5,30,686,"Public Toilet - Saint Mangos Lane, The Palladio (New Quay)",225.2,yes,no,1,1,0,2,1,0,88,Low demand,Moderate distance,36.8,Lower priority
21,Bourke155_T,155-161 Russell Street,-37.81267313,144.96788288,366116,508.5,30,720,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),107.5,yes,no,2,2,1,8,4,1,31,High demand,Close toilet,42.6,Lower priority
23,Col623_T,Spencer St-Collins St (South),-37.81909256,144.95452748,273412,379.7,30,720,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),306.5,yes,no,0,0,0,1,1,0,41,Medium demand,Longer distance,74.9,Medium priority
25,MCEC_T,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,536498,745.1,30,720,Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),258.7,yes,no,1,1,0,1,1,0,15,High demand,Moderate distance,75.6,High priority
29,AG_T,St Kilda Rd-Alexandra Gardens,-37.8199817,144.96872865,263611,366.1,30,720,Public Toilet - Toilet 48 - Birrarung Marr (Opposite Artplay),256.1,yes,no,1,1,0,5,5,0,43,Medium demand,Moderate distance,61.5,Medium priority
30,Lon189_T,Lonsdale St (South),-37.8112185,144.96656806,361612,502.2,30,720,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),227.2,yes,no,2,1,0,7,3,1,32,High demand,Moderate distance,64.9,Medium priority
37,Lyg260_T,Lygon St (East),-37.80107122,144.96704554,59585,106.2,30,561,Public Toilet - Toilet 178 -  Argyle Place North (Opposite 4 Argyle Place North),124.4,yes,no,2,1,0,4,3,0,83,Low demand,Close toilet,28.6,Lower priority
40,Spr201_T,Lonsdale St-Spring St (West),-37.80999341,144.97227587,175806,245.5,30,716,Public Toilet - Toilet 124 - Nicholson Street (1A Nicholson Street),92.6,no,no,4,1,0,6,3,0,52,Medium demand,Close toilet,40.7,Lower priority
42,UM1_T,Grattan St-Swanston St (West),-37.80008566,144.96386412,137221,192.7,30,712,Public Toilet - Toilet 178 -  Argyle Place North (Opposite 4 Argyle Place North),315.6,yes,no,0,0,0,3,2,0,63,Medium demand,Longer distance,64.9,Medium priority
63,Bou231_T,231 Bourke St,-37.81333081,144.96675571,409621,572.1,30,716,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),15.6,yes,no,2,2,1,8,4,1,22,High demand,Close toilet,40.8,Lower priority
66,QVN_T,State Library - New,-37.81057846,144.96444294,1044867,1459.3,30,716,Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),210.6,no,no,1,0,0,9,4,0,4,High demand,Moderate distance,86.9,High priority
67,FLDegS_T,Flinders Ln -Degraves St (South),-37.81688755,144.96562569,410980,570.8,30,720,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),126.1,yes,no,2,2,1,9,7,1,21,High demand,Close toilet,49.9,Lower priority
70,Errol20_T,Errol Street (East),-37.80456984,144.94946228,124299,180.1,30,690,Public Toilet - Toilet 13 - Queensberry Street (Opposite 530 Queensberry Street),169.5,unknown,no,2,0,0,2,0,0,66,Medium demand,Moderate distance,53.7,Medium priority
71,WestWP_T,Westwood Place,-37.81235775,144.97136962,16634,24.2,30,687,Public Toilet - Toilet 13 - Exhibition Street (Opposite 77 Exhibition Street),165.5,yes,no,3,2,0,7,3,0,98,Low demand,Moderate distance,27.1,Lower priority
76,KenMac_T,Macaulay Rd- Bellair St,-37.79453803,144.93036194,45584,71.3,30,639,Public Toilet - Toilet 177 - Bellair Street (Opposite 180 Bellair Street),89.6,yes,no,1,1,0,1,1,0,89,Low demand,Close toilet,22.1,Lower priority
118,Fli114C_T,114 Flinders Street Car Park Crossing,-37.81632783,144.97090512,15642,26.0,30,601,Public Toilet - Toilet 14 - Flinders Street (27 Flinders Street),170.5,no,no,3,2,0,7,6,1,99,Low demand,Moderate distance,28.1,Lower priority
130,Bou892T,I-Hub 892 Bourke Street,-37.8204637,144.94126826,45474,75.9,30,599,Public Toilet - Toilet 181 - Point Park (Point Park Crescent),320.4,yes,yes,0,0,0,2,1,1,90,Low demand,Longer distance,51.8,Medium priority
