sensor_description,longitude,latitude,total_pedestrians,avg_hourly_count,nearest_distance_m,toilets_within_300m,wheelchair_toilets_within_300m,baby_change_toilets_within_300m,priority_score,priority_group,demand_level,access_gap_level
Alfred Place,144.96995745,-37.81379749,65586,104.9,124.6,2,2,0,30.9,Lower priority,Low demand,Close toilet
Little Collins St-Swanston St (East),144.96609379,-37.81414075,719989,1000.0,122.0,4,2,1,55.4,Medium priority,High demand,Close toilet
QVM-Therry St (South),144.95956055,-37.80730068,281390,390.8,89.2,6,2,1,36.5,Lower priority,Medium demand,Close toilet
Bourke St - Spencer St (North),144.95358075,-37.81686075,369944,665.4,310.6,0,0,0,80.9,High priority,High demand,Longer distance
Building 80 RMIT,144.96304859,-37.80825648,709050,1048.9,165.1,3,1,0,70.6,Medium priority,High demand,Moderate distance
RMIT Building 14,144.96309114,-37.80767455,395210,552.0,104.1,3,1,0,56.2,Medium priority,High demand,Close toilet
La Trobe St (North),144.96216521,-37.80996494,249804,348.9,259.4,1,1,0,61.2,Medium priority,Medium demand,Moderate distance
Spring St- Flinders st (West),144.97467661,-37.81515276,32690,67.8,189.4,2,1,0,31.8,Lower priority,Low demand,Moderate distance
Harbour Esplanade (West) - Pedestrian path,144.94433026,-37.81441438,95765,209.1,232.7,1,1,0,45.9,Lower priority,Low demand,Moderate distance
Flinders St (South),144.96616678,-37.81794046,392081,547.6,9.5,1,1,0,49.2,Lower priority,High demand,Close toilet
Elizabeth St - Flinders St (East) - New footpath,144.96503383,-37.81798049,858403,1198.9,108.4,2,2,0,65.7,Medium priority,High demand,Close toilet
Errol St (West),144.94921863,-37.80454949,76642,115.3,173.2,2,0,0,49.8,Lower priority,Low demand,Moderate distance
William St - Little Lonsdale St (West),144.95678789,-37.81295822,344044,480.5,212.9,2,2,0,62.4,Medium priority,High demand,Moderate distance
La Trobe St- William St (South),144.95621105,-37.81193681,134400,187.7,284.5,1,1,0,53.2,Medium priority,Medium demand,Moderate distance
Birrarung Marr East - Batman Ave Bridge Entry,144.97329934,-37.81757416,886,3.5,181.6,2,1,0,28.0,Lower priority,Low demand,Moderate distance
I-Hub Southern Cross Station - Bourke Street Entrance - South,144.95319102,-37.8172861,357110,498.8,368.2,0,0,0,82.4,High priority,High demand,Longer distance
"COM Pole 2353 - Towards the city, NAB Building",144.94612292,-37.81894815,53408,86.7,331.5,0,0,0,54.4,Medium priority,Low demand,Longer distance
"COM Pole 1671 - Enterprize Park, Queens Bridge",144.95981454,-37.81996544,4931,13.9,142.7,2,2,0,22.6,Lower priority,Low demand,Close toilet
Awning of Nationwide Parking 474 Flinders Street,144.95834911,-37.81997273,146852,205.1,264.8,1,1,0,54.6,Medium priority,Medium demand,Moderate distance
I-Hub 526 La Trobe Street (Footpath),144.95160411,-37.813005,91144,127.3,342.8,0,0,0,61.5,Medium priority,Low demand,Longer distance
"Pumping Station No.2, 330 Macaulay Road",144.93530329,-37.79497059,45440,73.8,456.3,0,0,0,54.6,Medium priority,Low demand,Longer distance
197 Elizabeth Street,144.96276183,-37.81374643,594803,826.1,31.2,4,2,0,55.8,Medium priority,High demand,Close toilet
Flinders Underpass - Walkway,144.96549709,-37.81909037,455748,633.0,148.2,2,2,0,63.6,Medium priority,High demand,Close toilet
Bourke Street Mall (South),144.96516718,-37.81380668,534792,742.8,164.2,4,2,1,56.8,Medium priority,High demand,Moderate distance
Webb Bridge,144.9471751,-37.82293543,157355,241.3,132.1,1,1,1,32.5,Lower priority,Medium demand,Close toilet
Docklands Waterfront City Building Side,144.93970694,-37.81564989,47022,68.5,225.2,1,1,0,36.8,Lower priority,Low demand,Moderate distance
155-161 Russell Street,144.96788288,-37.81267313,366116,508.5,107.5,2,2,1,42.6,Lower priority,High demand,Close toilet
Spencer St-Collins St (South),144.95452748,-37.81909256,273412,379.7,306.5,0,0,0,74.9,Medium priority,Medium demand,Longer distance
Melbourne Convention Exhibition Centre,144.95604426,-37.82401776,536498,745.1,258.7,1,1,0,75.6,High priority,High demand,Moderate distance
St Kilda Rd-Alexandra Gardens,144.96872865,-37.8199817,263611,366.1,256.1,1,1,0,61.5,Medium priority,Medium demand,Moderate distance
Lonsdale St (South),144.96656806,-37.8112185,361612,502.2,227.2,2,1,0,64.9,Medium priority,High demand,Moderate distance
Lygon St (East),144.96704554,-37.80107122,59585,106.2,124.4,2,1,0,28.6,Lower priority,Low demand,Close toilet
Lonsdale St-Spring St (West),144.97227587,-37.80999341,175806,245.5,92.6,4,1,0,40.7,Lower priority,Medium demand,Close toilet
Grattan St-Swanston St (West),144.96386412,-37.80008566,137221,192.7,315.6,0,0,0,64.9,Medium priority,Medium demand,Longer distance
231 Bourke St,144.96675571,-37.81333081,409621,572.1,15.6,2,2,1,40.8,Lower priority,High demand,Close toilet
State Library - New,144.96444294,-37.81057846,1044867,1459.3,210.6,1,0,0,86.9,High priority,High demand,Moderate distance
Flinders Ln -Degraves St (South),144.96562569,-37.81688755,410980,570.8,126.1,2,2,1,49.9,Lower priority,High demand,Close toilet
Errol Street (East),144.94946228,-37.80456984,124299,180.1,169.5,2,0,0,53.7,Medium priority,Medium demand,Moderate distance
Westwood Place,144.97136962,-37.81235775,16634,24.2,165.5,3,2,0,27.1,Lower priority,Low demand,Moderate distance
Macaulay Rd- Bellair St,144.93036194,-37.79453803,45584,71.3,89.6,1,1,0,22.1,Lower priority,Low demand,Close toilet
114 Flinders Street Car Park Crossing,144.97090512,-37.81632783,15642,26.0,170.5,3,2,0,28.1,Lower priority,Low demand,Moderate distance
I-Hub 892 Bourke Street,144.94126826,-37.8204637,45474,75.9,320.4,0,0,0,51.8,Medium priority,Low demand,Longer distance
I-Hub Corner of King Street and Flinders Street (2-6 King),144.95758725,-37.82009057,111574,156.7,253.0,1,1,0,49.3,Lower priority,Medium demand,Moderate distance
I-Hub Southern Cross Station - Bourke Street Entrance - North,144.95303935,-37.81694221,384707,537.3,341.6,0,0,0,84.5,High priority,High demand,Longer distance
"Mounted on Toilet - Spencer Street, Batman Park",144.95557015,-37.821728,273467,381.9,1.1,1,1,0,41.0,Lower priority,Medium demand,Close toilet
iHub 489 Elizabeth Street,144.95987909,-37.80740397,387574,541.3,96.1,5,2,1,43.9,Lower priority,High demand,Close toilet
484 Spencer Street,144.94931703,-37.80896733,39478,57.5,502.8,0,0,0,54.2,Medium priority,Low demand,Longer distance
I-Hub 526 La Trobe Street (Crossing),144.95155955,-37.81304149,23836,33.6,344.6,0,0,0,50.9,Medium priority,Low demand,Longer distance
61-67 Power Street Southbank,144.96299677,-37.82392385,57092,79.6,412.5,0,0,0,57.2,Medium priority,Low demand,Longer distance
163 King Street,144.95550503,-37.81627451,235190,326.7,217.2,1,1,0,56.8,Medium priority,Medium demand,Moderate distance
124 Elizabeth Street,144.96371988,-37.81512416,686000,952.8,153.1,4,2,1,58.6,Medium priority,High demand,Moderate distance
RMIT Building 22 - 330 Swanston Street,144.96395473,-37.80942561,222466,309.4,158.2,1,0,0,60.7,Medium priority,Medium demand,Moderate distance
Southbank Promenade - Building Side,144.96499384,-37.82020539,370834,517.9,69.7,2,2,0,49.6,Lower priority,High demand,Close toilet
Southbank Promenade - Riverside,144.96501549,-37.82025374,545888,758.2,70.6,2,2,0,57.1,Medium priority,High demand,Close toilet
